park_name_th,attraction_name,type(จุดชมวิว/น้ำตก/ถ้ำ/หาด/ยอดเขา/น้ำพุร้อน),description(เชิง marketing),lat,lng,image_url
อุทยานแห่งชาติเขาสก,อ่างเก็บน้ำเหนือเขื่อนรัชชประภา,แหล่งน้ำ,เป็นเขื่อนสำหรับผลิตกระแสไฟฟ้า เป็นเขื่อนอเนกประสงค์ที่สร้างปิดกั้นคลองพระแสง ตัวเขื่อนเป็นหินทิ้งแกนดินเหนียว สูง 95 เมตร ยาว 700 เมตร ระดับสันเขื่อนสูง 100 เมตร อ่างเก็บน้ำมีเกาะมากกว่า 100 เกาะ สมารถล่องเรือชมทัศนียภาพที่สวยงามมาก โดยเฉพาะบริเวณช่องแคบเขากาเลาะบนสันเขื่อนรัชชประภายังเป็นจุดชมทิวทัศน์ที่งดงามของอ่างเก็บน้ำ โดยเฉพาะยามดวงอาทิตย์ตก,8.97405906,98.81134761,
อุทยานแห่งชาติเขาสก,ถ้ำน้ำทะลุ,ถ้ำ,ปากถ้ำกว้างใหญ่ถึง 10 - 50 เมตร ภายในกว้างขวางมีลำธารไหลผ่านตลอดความยาว 500 เมตร ภายในถ้ำมีหินงอกหินย้อย รวมทั้งโขดหินที่เกิดจากการกัดเซาะของสายน้ำจนมีรูปทรงแปลกตา,8.993704937,98.60835275,
อุทยานแห่งชาติเขาสก,น้ำตกแม่ยาย,น้ำตก,เป็นน้ำตกเพียงแห่งเดียวภายในอุทยานแห่งชาติที่รถยนต์ไปถึงได้ อยู่ริมทางหลวงหมายเลข 401 (สุราษฎร์ธานี - ตะกั่วป่า) ตรงกิโลเมตร 113 เป็นน้ำตกชั้นเดียว สูงประมาณ 30 เมตร สวยงามมาก โดยเฉพาะฤดูฝนน้ำจะเต็มหน้าผาที่สูงชันกระจัดกระจายแตกฟองขาวโพลน,8.883605995,98.49959052,
อุทยานแห่งชาติหมู่เกาะสิมิลัน,เกาะสิมิลัน (เกาะแปด),เกาะ,เป็นเกาะขนาดใหญ่ที่สุดของอุทยานแห่งชาติหมู่เกาะสิมิลัน และเป็นเกาะเดียวที่มีลำธารขนาดเล็กไหลรินตลอดทั้งปี บนยอดสูงสุดของเกาะทางด้านทิศตะวันตกมีกระโจมไฟ ซึ่งเป็นสัญญาณในการเดินเรือตั้งอยู่ ด้านตะวันออกเป็นชายฝั่งยาว มีแนวปะการังขนานกับชายฝั่งจนถึงหัวเกาะด้านตะวันตกเป็นหน้าผาสูง มีกองหินใต้น้ำบางแห่งจนถึงด้านตะวันตกเฉียงเหนือ เป็นอ่าวใหญ่มีลักษณะคล้ายรูปเกือก เรียกว่า อ่าวกือกม้าหรืออ่าวหินเรือใบ,8.666158773,97.64881731,
อุทยานแห่งชาติหมู่เกาะสิมิลัน,เกาะเมียง (เกาะสี่),เกาะ, เป็นเกาะขนาดใหญ่ ตั้งอยู่กึ่งกลางหมู่เกาะสิมิลัน มีที่ตั้งของหน่วยพิทักษ์อุทยานฯ ที่ สล.1(เกาะเมียง) มีพื้นที่รองจากเกาะสิมิลัน บนเกาะสี่ มี 2 หาด และมีจุดชมวิว,8.570831778,97.63708092,
อุทยานแห่งชาติหมู่เกาะสิมิลัน,เกาะตาชัย,เกาะ,ตั้งอยู่บริเวณเหนือสุดและไกลสุดของหมู่เกาะสิมิลัน เป็นทางผ่านของเส้นทางเดินเรือจากหมู่เกาะสิมิลันไปเกาะสุรินทร์ ป็นอีกเกาะหนึ่งทีมีหาดทรายสวยงาม ส่วนใต้น้ำมีจุดดำน้ำลึกหลายแห่ง ใกล้ชายฝั่งเป็นกอหินใต้น้ำ สามารถพบกระเบนราหูได้ ถัดออกไปเป็นกองหินอีกแห่งหนึ่งที่จะพบปะการังอ่อนและกัลปังหาอยู่ทั่วไป และมีสัตว์น้ำมากมาย,9.069035907,97.81072956,
อุทยานแห่งชาติเขาแหลมหญ้า-หมู่เกาะเสม็ด,เขาแหลมหญ้า,จุดชมวิว,เป็นอ่าวโค้งคล้ายพระจันทร์ครึ่งดวง หาดทรายขาวสะอาดยาวประมาณ 500 เมตร บริเวณหน้าผาด้านหลังอ่าววงเดือนยังเป็นจุดชมพระอาทิตย์ตกที่สวยงามอีกด้วย เขาแหลมหญ้า อยู่เลยบ้านก้นอ่าวไปเล็กน้อย ตามถนนเลียบชายหาดเป็นเนินเขาเตี้ย ๆ ริมทะเล มีเนื้อที่ประมาณ 680 ไร่ บางส่วนเป็นแหลมยื่นออกไปในทะเล ปกคลุมด้วยป่าละเมาะ มีจุดชมวิวที่สามารถมองเห็นหาดแม่รำพึง เกาะเสม็ด และยังเป็นจุดชมพระอาทิตย์ตกด้วย,12.58369583,101.4182945,
อุทยานแห่งชาติเขาแหลมหญ้า-หมู่เกาะเสม็ด,หาดแม่รำพึง,หาด,เป็นหาดที่มีชื่อเสียงของระยอง มีนักท่องเที่ยวมาเที่ยวเป็นประจำ เพราะเป็นหาดที่มีวิวทิวทัศน์สวยงาม มีแนวทิวสนร่มรื่นตลอดแนวหาด ทรายละเอียดนุ่มเท้า หาดมีความลาดชันน้อย และเรียบเป็นแนวทอดยาว 12 กิโลเมตร นักท่องเที่ยวนิยมมานั่งเล่นนอนเล่นพักผ่อน ลงเล่นน้ำทะเล และปิคนิคกันบริเวณชายหาด บริเวณนี้มีร้านอาหารร้านค้าให้บริการอยู่หลายแห่งด้วย จึงเป็นหาดที่ค่อนข้างคึกคักตลอดแทบทั้งปี,12.61093709,101.3852399,
อุทยานแห่งชาติเขาแหลมหญ้า-หมู่เกาะเสม็ด,หาดทรายแก้ว,หาด,เป็นหาดทรายที่สวยที่สุดของเกาะเป็นหาดที่นักท่องเที่ยวทั้งหลายมุ่งหน้ามาชมและเล่นน้ํา เพราะเป็นหาดที่มีทรายขาวสะอาด และละเอียดมาก หาดกว้าง 25-30 เมตร ยาวประมาณ 780 เมตร ราบเรียบปราศจากโขดหินใด ๆ,12.56793931,101.4668265,
อุทยานแห่งชาติดอยผ้าห่มปก,น้ำพุร้อนฝาง,น้ำพุร้อน,เป็นบ่อน้ำร้อนธรรมชาติเกิดจากความร้อนใต้ดิน มีไอร้อนคุกรุ่นอยู่ตลอดเวลา อุณหภูมิของน้ำประมาณ 50 - 87 องศาเซสเซียส,19.96605216,99.15422008,
อุทยานแห่งชาติดอยผ้าห่มปก,น้ำตกตาดหมอก,น้ำตก,ลักษณะที่น้ำตกลงมาเหมือนใยแก้ว ละอองน้ำกระจายอยู่ทั่วแผ่นผาคล้ายหมอก มีน้ำไหลตลอดทั้งปี,18.96358244,98.85600624,
อุทยานแห่งชาติดอยผ้าห่มปก,ดอยผ้าห่มปก,ยอดเขา,"เป็นดอยที่สูงอันดับ 2 ของประเทศไทย ด้วยความสูงประมาณ 2,285 เมตรจากระดับน้ำทะเลปานกลาง บนยอดดอยสูงสุดเป็นทุ่งโล่งอันเกิดจากสภาพธรณีวิทยาที่มีชั้นดินตื้น จากยอดดอยจะเห็นทิวทัศน์ที่สวยงาม เช่น ทะเลหมอก และถนนบนสันเขา ขนานกับชายแดนไทย-พม่า ซึ่งถือเป็นถนนที่สร้างขึ้นเพื่อความมั่นคงระหว่างประเทศ",20.04533309,99.14539154,
อุทยานแห่งชาติเอราวัณ,น้ำตกเอราวัณ,น้ำตก,"เป็นน้ำตกหินปูน ที่มีความสวยงาม และมีชื่อเสียงแห่งหนึ่งของจังหวัดกาญจนบุรี มีระยะทางยาวประมาณ 2,200 เมตร แบ่งออกเป็นชั้นๆ ได้ 7 ชั้นด้วยกัน ซึ่งแต่ละชั้นมีความสวยงามแตกต่างกันไป และมีชื่อของแต่ละชั้นดังนี้ ชั้นที่ 1 ไหลคืนรัง ชั้นที่ 2 วังมัจฉา ชั้นที่ 3 ผาน้ำตก ชั้นที่ 4 อกนางผีเสื้อ ชั้นที่ 5 เบื่อไม่ลง ชั้นที่ 6 ดงพฤกษา และชั้นที่ 7 ภูผาเอราวัณ ซึ่งเป็นชั้นบนสุดเมื่อน้ำตกไหลบ่าจะมีลักษณะคล้ายช้างสามเศียรหรือที่เรียกว่า ""ช้างเอราวัณ"" จึงเป็นที่มาของ ""อุทยานแห่งชาติเอราวัณ"" และน้ำในลำธารเปล่งประกายเป็นสีเขียวมรกตด้วย",14.36052574,99.14104898,
อุทยานแห่งชาติเอราวัณ,ถ้ำพระธาตุ,ถ้ำ,เป็นถ้ำมืดขนาดใหญ่พื้นถ้ำเรียบ มีความยาวประมาณ 200 เมตร มีหินงอกและหินย้อยรูปร่างสวยงามแปลกตา จุดเด่นของถ้ำพระธาตุคือ หินส่วนใหญ่จะโปร่งแสง และมีหินทรายรูปร่างคล้ายพระธาตุ นอกจากนี้ยังมีเสาเอก เสาโท อยู่ภายในถ้ำอีกด้วย ภายในถ้ำแบ่งเป็น 5 ห้อง ได้แก่ กบจำศีล ท้องฟ้าจำลอง เสาเอก ม่านลิเก และระฆัง อากาศภายในถ้ำโปร่งสบาย,14.39784844,99.08260119,
อุทยานแห่งชาติเอราวัณ,ถ้ำวังบาดาล,ถ้ำ,ลักษณะของถ้ำวังบาดาลเป็นถ้ำหินปูนขนาดใหญ่ ปากทางเข้าเป็นห้องเล็กๆ มีหลายห้อง ห้องชั้นล่างมีน้ำไหลผ่านและมีสัตว์น้ำอาศัยอยู่ด้วย นอกจากนี้แต่ละห้องยังมีหินงอกหินย้อย เช่น ห้องม่านพระอินทร์ จะมีลักษณะหินย้อยลงมาคล้ายกับม่าน ห้องเข็มนารายณ์ มีลักษณะคล้ายเข็มแท่งใหญ่ซึ่งความวิจิตรงดงาม,14.24275376,99.06299968,
อุทยานแห่งชาติผาแต้ม,จุดชมทิวทัศน์ผาแต้ม,จุดชมวิว,เป็นจุดชมวิวอีกจุดหนึ่งที่สามารถชมพระอาทิตย์ขึ้นในตอนเช้าได้สวยงามอีกจุดหนึ่งที่สามรถเดินทางเข้าถึงได้ง่าย ด้านล่างหน้าผาสามารถมองเห็นแม่น้ำโขงไหลผ่าน ซึ่งอุทยานแห่งชาติผาแต้ม มีแนวเขตติดกับแม่น้ำโขงยาวถึง 63 เมตร จุดนี้สามารถมองเห็นเทือกเขาของสาธารณรัฐประชาธิปไตยประชาชนลาว แขวงจำปาสัก ด้านล่างยังเห็นพื้นที่ทำการเกษตรของ 3 หมู่บ้าน คือ บ้านกุ่ม บ้านตามุย บ้านท่าล้ง ด้านล่างจุดชมวิวเป็นที่ตั้งของภาพเขียนสี ยาวไปตามหน้าผา,15.39880759,105.5076809,
อุทยานแห่งชาติผาแต้ม,ผาชะนะได,จุดชมวิว,เป็นอีกแหล่งท่องเที่ยวแห่งหนึ่งอยู่ในเขตอุทยานแห่งชาติผาแต้มที่นักท่องเที่ยวให้ความสนใจไปเที่ยวเป็นจำนวนมาก ถือเป็นหน้าผาที่เห็นพระอาทิตย์ขึ้นก่อนใครในสยาม อีกทั้งกรมอุตุนิยมวิทยาใช้เป็นจุดที่ใช้ในการบอกเวลาดวงอาทิตย์ขึ้นนั้นเอง บริเวณผาชะนะได นอกจากจะเห็นแนวแม่น้ำโขงที่ทอดยาวจากเหนือลงใต้แล้ว ยังได้เห็นความอุดมสมบูรณ์ของผืนป่าเขียวขจีกว้างสุดลูกหูลูกตา  ในช่วงปลายฝนต้นหนาวจะในตอนเช้าจะได้เห็นสายธารของหมอกที่ไหลผ่านด้านหน้าผาด้านหลังเป็นเทือกเขาของสาธารณรัฐประชาธิปไตยประชาชนลาวสูงต่ำสลับกันไปผาชะนะไดอยู่ในเขตพื้นที่ป่าดงนาทาม,15.62103729,105.6173987,
อุทยานแห่งชาติผาแต้ม,ภาพเขียนสีก่อนประวัติศาสตร์ผาแต้ม,แหล่งโบราณคดี,เป็นจุดชมภาพเขียนสีที่มีความยาวมากที่สุดเท่าที่พบมาในประเทศไทย มีความยาว 180 เมตร สามารถแบ่งรูปออกได้เป็น 5 ประเภท คือ ภาพคน ภาพผามือ ภาพสัตว์ ภาพวัตถุ และภาพรูปทรงเลขาคณิต ส่วนใหญ่เขียนด้วยสีแดง โดยใช้การแร่ฮีเมไทต์ หรืออาจเป็นเครื่องปั้นดินเผา แล้วมาป่นเป็นผงผสมไข่ขาว นำมันพืช หรือยางไม้ อย่างใดอย่างหนึ่ง ภาพเขียนที่เป็นภาพสัตว์สัดส่วนที่ใหญ่ราวกับขนาดจริง ได้แก่ ช้าง ปลาบึก เต่า ตะพาบน้ำ เป็นต้น,15.39951061,105.5122027,
